Date,Week,Period,Customer,Sales Channel,Sales Rep,Item Class,Coffee Size,Item / Memo,Document Number,Location,Revenue,Quantity,Units Sold,Unit,Unit Multiplier,Package Lbs,Weight Source,Multiplier Source,Weight Review,Lbs,$/LB,Snapshot Date
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2lb,Org Venice GW (2lb),CS12279,LA : 1ROASTERY (LA),40.0,1.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,20.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,12oz,Org Bitches Brew GW (12oz),CS12280,LA : 1ROASTERY (LA),18.0,1.0,1.0,,1.0,0.75,Sum of # of Units x weight by lbs,Not used - authoritative units,False,0.75,24.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2lb,Org Ethiopia Heirloom Blend GW (2lb),CS12281,LA : 1ROASTERY (LA),42.0,1.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,21.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2lb,Org Black Gold GW (2lb),CS12282,LA : 1ROASTERY (LA),40.0,1.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,20.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2lb,Org Bitches Brew GW (2lb) French Press,CS12283,LA : 1ROASTERY (LA),40.0,1.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,20.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2lb,Org Bitches Brew GW (2lb),CS12284,LA : 1ROASTERY (LA),80.0,2.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,40.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2lb,Org Bitches Brew GW (2lb),CS12285,LA : 1ROASTERY (LA),40.0,1.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,20.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2lb,Org Black Gold GW (2lb),CS12286,LA : 1ROASTERY (LA),40.0,1.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,20.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2lb,Org Angel City GW (2lb),CS12287,LA : 1ROASTERY (LA),40.0,1.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,20.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,2lb,Org Bitches Brew GW (2lb),CS12288,LA : 1ROASTERY (LA),40.0,1.0,1.0,,1.0,2.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,2.0,20.0,2026-07-21
2026-03-01,(26-Feb) 9,Mar 2026,GW Internet,E-Commerce : GroundworkCoffee.com,- House Account -,Finished Goods: Roasted Coffee,1lb,Org Black Gold (1lb) Can,CS12289,LA : 1ROASTERY (LA),19.0,1.0,1.0,,1.0,1.0,Sum of # of Units x weight by lbs,Not used - authoritative units,False,1.0,19.0,2026-07-21
