Reporting Customer,Parent Customer/Project: Company Name,Customer,Transaction Type,Document Number,P.O. No.,Date,Due Date,Age,Bucket,Amount (Gross),Open Balance,Gross vs Amt Due,Email,Email 2,Sales Channel: Name,Memo,Terms: Name,Sales Rep: Name,Transaction Reason,Channel Clean,Snapshot Date
Alberta Food Coop,,CP111400 Alberta Food Coop,Invoice [AR INVOICE],INV813404,Email - Jim 8/4,2025-08-05,2025-09-19,297,91+,176.58,176.58,0.0,gillian@albertagrocery.coop,bulk@albertagrocery.coop; cora@albertagrocery.coop,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Alberta Food Coop,,CP111400 Alberta Food Coop,Invoice [AR INVOICE],INV829408,Email - Jim 12/22,2025-12-23,2026-02-06,157,91+,188.82,188.82,0.0,gillian@albertagrocery.coop,bulk@albertagrocery.coop; cora@albertagrocery.coop,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Alberta Food Coop,,CP111400 Alberta Food Coop,Invoice [AR INVOICE],INV847079,'Rose Marie Brogan' via pdxorders,2026-06-30,2026-08-14,-32,Current,187.74,187.74,0.0,gillian@albertagrocery.coop,bulk@albertagrocery.coop; cora@albertagrocery.coop,Grocery Direct,,Net 45,Kristen Springer,,Grocery Direct,2026-07-13
Bookloft,,CP112400 Bookloft,Credit,CM67360,Becky,2026-03-02,2026-03-02,133,91+,-78.11,-78.11,0.0,manager@bookloft.org,,Foodservice Direct,Customer received torn bag - INV834663,Credit Card (Preauthorized),Megan Adams,,Foodservice Direct,2026-07-13
Bookloft,,CP112400 Bookloft,Invoice [AR INVOICE],INV836430,Email - Becky 3/6,2026-03-10,2026-03-10,125,91+,191.24,191.24,0.0,manager@bookloft.org,,Foodservice Direct,,Credit Card (Preauthorized),Megan Adams,,Foodservice Direct,2026-07-13
Brooks and Terry's Espresso,,CP112550 Brooks and Terry's Espresso,Chargeback,CM67888,CK 20901 | PYMT94622,2025-07-07,2025-07-07,371,91+,-1282.6,-1282.6,0.0,tawnni@icloud.com,,Foodservice Direct,Duplicate Payment | INV807580 was cleared by CK 20875,Net 10,Megan Adams,Duplicate PMT,Foodservice Direct,2026-07-13
Brooks and Terry's Espresso,,CP112550 Brooks and Terry's Espresso,Invoice [AR INVOICE],INV847200,Email - Tawnni,2026-07-01,2026-07-11,2,1-14,1481.9,1481.9,0.0,tawnni@icloud.com,,Foodservice Direct,,Net 10,Megan Adams,,Foodservice Direct,2026-07-13
Corbett Country Market,,CP113900 Corbett Country Market,Invoice [AR INVOICE],INV845836,Patrick Oldright Amie Fedorka,2026-06-16,2026-07-31,-18,Current,485.29,485.29,0.0,corbettcountrymarket@gmail.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
John Street Cafe,,CP117350 John Street Cafe,Invoice [AR INVOICE],INV845231,Email,2026-06-09,2026-07-24,-11,Current,211.26,211.26,0.0,johnstreetcafeor@gmail.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
John Street Cafe,,CP117350 John Street Cafe,Invoice [AR INVOICE],INV847254,Email,2026-07-02,2026-08-16,-34,Current,211.26,211.26,0.0,johnstreetcafeor@gmail.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
John Street Cafe,,CP117350 John Street Cafe,Invoice [AR INVOICE],INV847528,Email,2026-07-07,2026-08-21,-39,Current,229.21,229.21,0.0,johnstreetcafeor@gmail.com,,Foodservice Direct,,Net 45,Megan Adams,,Foodservice Direct,2026-07-13
Legacy Health,,CP117800 Legacy Health,Chargeback,CM67407,INV813842,2026-03-01,2026-03-01,134,91+,-43.77,-43.77,0.0,AccountsPayable@lhs.org,,Foodservice Direct,Duplicate Payment | INV813842,Net 45,Ken Kiggins,Duplicate PMT,Foodservice Direct,2026-07-13
Legacy Health,,CP117800 Legacy Health,Chargeback,CM67655,ACH CP -002525657 | PYMT99955,2026-04-10,2026-04-10,94,91+,-2832.66,-2832.66,0.0,AccountsPayable@lhs.org,,Foodservice Direct,On Account Payment  | INV836641 and INV836658 - no record in NS,Net 45,Ken Kiggins,On Account Payment (OAP),Foodservice Direct,2026-07-13
Legacy Health,,CP117800 Legacy Health,Chargeback,CM67851,ACH CP-002525657 | PYMT100506,2026-05-18,2026-05-18,56,31-60,-467.2,-467.2,0.0,AccountsPayable@lhs.org,,Foodservice Direct,On Account Payment | INV840151 no record on system,Net 45,Ken Kiggins,On Account Payment (OAP),Foodservice Direct,2026-07-13
Legacy Health,,CP117800 Legacy Health,Chargeback,CM68018,ACH CP -002525657 | PYMT100911,2026-06-12,2026-06-12,31,31-60,-1921.74,-1921.74,0.0,AccountsPayable@lhs.org,,Foodservice Direct,On Account Payment | INV842929 and INV843319 no record in NS,Net 45,Ken Kiggins,On Account Payment (OAP),Foodservice Direct,2026-07-13
Legacy Health,,CP117800 Legacy Health,Payment,PYMT101251,,2026-07-10,2026-07-10,3,1-14,-7947.6,-7947.6,0.0,AccountsPayable@lhs.org,,Foodservice Direct,ACH CP-002525657,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
Legacy Health,Legacy Health,CP117800 Legacy Health:CP118300 Legacy: Broadway,Invoice [AR INVOICE],INV847920,Teresa Boeh,2026-07-13,2026-08-27,-45,Current,226.93,226.93,0.0,accountspayableinv@lhs.org,AccountsPayableInvoiceOnly@lhs.org,Foodservice Direct,,Net 45,Ken Kiggins,,Foodservice Direct,2026-07-13
